Sample,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC,Name
0,0.076923077,1,0.256410256,0.141025641,0.051282051,1.012820513,0.064102564,0.014614,0.009681,0.068951,0.024848,2,2,2,2,0.132261,0.119518,0.035178,0.377591,467,590,706,811,973,973,1000,1000,523,553,770,951,722,723,968,1000,perturbed
1,0.102564103,1,0.269230769,0.115384615,0.038461538,0.987179487,0.038461538,0.06819,0.005837,0.036998,0.049326,4,3,1,1,0.069198,0.072409,0.04983,0.389784,563,566,937,996,978,978,1000,1000,386,502,855,640,805,809,970,1000,perturbed
2,0.153846154,1,0.256410256,0.141025641,0.012820513,0.974358974,0.051282051,0.020148,0.011099,0.081917,0.054922,4,4,4,3,0.099664,0.066424,0.080902,0.377499,160,782,996,197,978,978,1000,1000,465,484,822,920,712,712,968,1000,perturbed
3,0.153846154,1,0.230769231,0.08974359,0.012820513,0.974358974,0.051282051,0.023098,0.057289,0.007963,0.026842,3,1,2,2,0.133511,0.060266,0.020109,0.351836,241,809,997,310,975,975,1000,1000,70,500,757,110,610,653,754,1000,perturbed
4,0.128205128,1,0.294871795,0.102564103,0.051282051,0.974358974,0.025641026,0.011849,0.040629,0.007149,0.030275,4,4,1,1,0.072309,0.128935,0.09036,0.357726,195,496,955,274,974,974,1000,1000,1,555,898,3,656,670,844,1000,perturbed
5,0.076923077,1,0.230769231,0.064102564,0.064102564,0.961538462,0.012820513,0.028557,0.009627,0.074553,0.048193,2,4,2,1,0.140268,0.066943,0.082488,0.399696,466,517,665,993,979,979,1000,1000,483,522,809,907,745,900,756,1000,perturbed
6,0.076923077,1,0.294871795,0.141025641,0.051282051,0.987179487,0.012820513,0.022422,0.046341,0.06124,0.035888,1,1,1,2,0.103697,0.117728,0.030118,0.410696,521,585,704,946,977,977,1000,1000,408,535,905,713,869,869,993,1000,perturbed
7,0.102564103,1,0.230769231,0.064102564,0.025641026,1.038461538,0.038461538,0.015159,0.029506,0.050108,0.037751,4,3,2,3,0.116206,0.122718,0.07775,0.403841,244,754,967,276,979,979,1000,1000,501,596,782,789,768,913,777,1000,perturbed
8,0.102564103,1,0.269230769,0.08974359,0.012820513,0.987179487,0.064102564,0.068525,0.053948,0.058993,0.03016,1,2,2,2,0.109303,0.08016,0.083517,0.394251,831,834,977,1000,973,973,1000,1000,484,509,805,912,837,853,926,1000,perturbed
9,0.115384615,1,0.243589744,0.064102564,0.038461538,1,0.064102564,0.048586,0.00523,0.016053,0.057053,1,2,2,2,0.092484,0.074075,0.024023,0.404969,560,561,961,997,978,978,1000,1000,245,527,756,352,774,913,783,1000,perturbed
10,0.141025641,1,0.230769231,0.141025641,0.025641026,1.012820513,0.051282051,0.042611,0.005326,0.03894,0.024099,5,2,2,2,0.108761,0.085804,0.069691,0.407514,641,667,992,934,977,977,1000,1000,444,557,758,712,852,852,993,1000,perturbed
11,0.128205128,1,0.243589744,0.08974359,0.051282051,0.974358974,0.064102564,0.028175,0.05603,0.014092,0.059901,3,5,1,1,0.111811,0.060299,0.036977,0.350543,440,503,958,789,975,975,1000,1000,218,475,755,328,601,641,743,1000,perturbed
12,0.08974359,1,0.282051282,0.08974359,0.012820513,0.974358974,0.064102564,0.051876,0.00374,0.05423,0.0213,3,1,1,3,0.110709,0.119454,0.032482,0.388389,764,846,936,915,974,974,1000,1000,497,539,830,874,817,842,904,998,perturbed
13,0.153846154,1,0.307692308,0.141025641,0.038461538,0.961538462,0.064102564,0.070675,0.042803,0.058592,0.016539,3,3,4,2,0.135524,0.110226,0.063883,0.373018,492,492,992,1000,978,978,1000,1000,439,498,869,798,690,690,963,999,perturbed
14,0.141025641,1,0.269230769,0.115384615,0.012820513,1.012820513,0.051282051,0.066119,0.015856,0.055784,0.011031,4,3,2,1,0.069369,0.075383,0.072734,0.400643,708,712,994,989,977,977,1000,1000,473,507,823,878,858,863,980,1000,perturbed
15,0.08974359,1,0.269230769,0.08974359,0.064102564,0.961538462,0.012820513,0.05205,0.047021,0.060976,0.007956,1,2,4,3,0.07713,0.130545,0.030616,0.411697,477,498,730,1000,980,980,1000,1000,337,570,877,568,897,913,962,989,perturbed
16,0.141025641,1,0.269230769,0.141025641,0.025641026,1,0.064102564,0.008814,0.062423,0.03926,0.04938,1,3,1,1,0.073231,0.081024,0.02993,0.382852,133,624,992,170,973,973,1000,1000,417,504,801,730,749,749,974,1000,perturbed
17,0.102564103,1,0.230769231,0.128205128,0.051282051,1.038461538,0.076923077,0.005968,0.037243,0.073752,0.021889,2,2,1,1,0.123866,0.132265,0.0166,0.382986,99,540,900,155,978,978,1000,1000,509,553,708,971,758,759,964,999,perturbed
18,0.115384615,1,0.243589744,0.064102564,0.064102564,0.987179487,0.076923077,0.075177,0.04604,0.034672,0.009798,4,5,1,1,0.116353,0.116683,0.020083,0.420587,456,459,881,1000,977,977,1000,1000,418,532,739,696,829,937,834,994,perturbed
19,0.115384615,1,0.256410256,0.128205128,0.051282051,1.038461538,0.012820513,0.070405,0.022009,0.018924,0.024759,2,3,4,3,0.083272,0.105744,0.047781,0.415471,521,522,933,1000,974,974,1000,1000,5,576,852,12,888,888,993,1000,perturbed
20,0.128205128,1,0.256410256,0.08974359,0.051282051,1.012820513,0.012820513,0.072292,0.048556,0.015032,0.026117,4,2,3,2,0.066361,0.088127,0.059584,0.353134,490,490,955,1000,974,974,1000,1000,3,551,855,6,617,657,755,1000,perturbed
21,0.141025641,1,0.230769231,0.064102564,0.012820513,1,0.012820513,0.072014,0.022704,0.06608,0.018244,2,3,3,3,0.139243,0.107304,0.059971,0.370354,822,822,995,1000,978,978,1000,1000,396,602,826,646,576,810,583,1000,perturbed
22,0.076923077,1,0.230769231,0.076923077,0.064102564,0.974358974,0.012820513,0.0681,0.048905,0.022635,0.046063,3,3,1,3,0.090982,0.120246,0.067628,0.363229,474,527,668,1000,977,977,1000,1000,45,605,820,71,669,734,769,1000,perturbed
23,0.076923077,1,0.256410256,0.115384615,0.064102564,0.974358974,0.012820513,0.040627,0.049096,0.065511,0.031311,1,2,1,1,0.121929,0.081786,0.015221,0.413674,467,517,663,999,980,980,1000,1000,453,535,849,795,896,898,990,1000,perturbed
24,0.153846154,1,0.294871795,0.08974359,0.038461538,1.038461538,0.025641026,0.066187,0.028572,0.027893,0.060682,1,3,4,3,0.107037,0.092587,0.034898,0.413717,489,489,993,1000,973,973,1000,1000,58,521,895,114,905,916,964,1000,perturbed
25,0.153846154,1,0.294871795,0.115384615,0.051282051,1,0.051282051,0.036816,0.052933,0.056812,0.039785,4,2,1,1,0.100361,0.094582,0.034057,0.392333,449,458,991,928,978,978,1000,1000,480,513,863,879,809,814,971,1000,perturbed
26,0.153846154,1,0.307692308,0.115384615,0.051282051,1,0.038461538,0.02984,0.023982,0.075163,0.050605,3,3,1,3,0.074767,0.063355,0.072143,0.351074,419,441,991,869,977,977,1000,1000,426,430,891,960,599,605,842,1000,perturbed
27,0.076923077,1,0.282051282,0.076923077,0.064102564,0.961538462,0.025641026,0.064966,0.013289,0.070285,0.047097,3,2,1,2,0.080037,0.090501,0.018607,0.38275,459,509,665,999,977,977,1000,1000,489,528,892,876,783,829,847,1000,perturbed
28,0.128205128,1,0.269230769,0.076923077,0.012820513,1,0.025641026,0.007436,0.033887,0.006503,0.037785,4,5,2,1,0.123034,0.117198,0.027382,0.429125,3,808,991,3,974,974,1000,1000,1,576,870,4,936,945,974,1000,perturbed
