Solution,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA
0,0.065826,1,0.248827,0.12865,0.03938,1.006651,0.057467,0.014614,0.009681,0.068951,0.024848,1.741976,1.115235,1.325802,1.154492,0.132261,0.119518,0.035178,0.377591
1,0.094179,1,0.263631,0.108136,0.028897,0.983039,0.036979,0.06819,0.005837,0.036998,0.049326,3.640544,2.599753,0.520516,0.484978,0.069198,0.072409,0.04983,0.389784
2,0.145206,1,0.256319,0.136971,0.007686,0.965595,0.041151,0.020148,0.011099,0.081917,0.054922,3.25229,3.059498,3.286091,2.559758,0.099664,0.066424,0.080902,0.377499
3,0.147253,1,0.224917,0.087604,0.006437,0.967872,0.042859,0.023098,0.057289,0.007963,0.026842,2.079925,0.612469,1.208952,1.498795,0.133511,0.060266,0.020109,0.351836
4,0.127771,1,0.285042,0.089982,0.047369,0.969353,0.017266,0.011849,0.040629,0.007149,0.030275,3.296646,3.436447,0.798314,0.73118,0.072309,0.128935,0.09036,0.357726
5,0.068337,1,0.224248,0.058636,0.060697,0.949421,0.002812,0.028557,0.009627,0.074553,0.048193,1.629909,3.534983,1.271625,0.662537,0.140268,0.066943,0.082488,0.399696
6,0.073184,1,0.293967,0.129083,0.04659,0.983106,0.012595,0.022422,0.046341,0.06124,0.035888,0.3844,0.714859,0.187274,1.353162,0.103697,0.117728,0.030118,0.410696
7,0.098966,1,0.22949,0.054938,0.024293,1.02566,0.026288,0.015159,0.029506,0.050108,0.037751,3.128366,2.550938,1.412385,2.655408,0.116206,0.122718,0.07775,0.403841
8,0.100607,1,0.261474,0.084343,0.008632,0.984459,0.060556,0.068525,0.053948,0.058993,0.03016,0.875424,1.143556,1.698167,1.665039,0.109303,0.08016,0.083517,0.394251
9,0.102987,1,0.238089,0.063447,0.033281,0.990814,0.053874,0.048586,0.00523,0.016053,0.057053,0.167751,1.420988,1.21359,1.34871,0.092484,0.074075,0.024023,0.404969
10,0.136917,1,0.228058,0.13663,0.014143,1.012576,0.04228,0.042611,0.005326,0.03894,0.024099,4.115645,1.339803,1.840021,1.986355,0.108761,0.085804,0.069691,0.407514
11,0.126729,1,0.236122,0.084668,0.038701,0.969253,0.061936,0.028175,0.05603,0.014092,0.059901,2.280094,4.038538,0.509666,0.968509,0.111811,0.060299,0.036977,0.350543
12,0.083173,1,0.276713,0.077401,0.001961,0.965745,0.053497,0.051876,0.00374,0.05423,0.0213,2.362761,0.852897,0.421515,2.331264,0.110709,0.119454,0.032482,0.388389
13,0.143578,1,0.300773,0.137483,0.036619,0.950823,0.057703,0.070675,0.042803,0.058592,0.016539,2.223469,2.818277,3.149231,1.394682,0.135524,0.110226,0.063883,0.373018
14,0.140663,1,0.265276,0.104429,0.003922,1.005525,0.046516,0.066119,0.015856,0.055784,0.011031,3.875026,2.021457,1.71303,0.465406,0.069369,0.075383,0.072734,0.400643
15,0.079882,1,0.259696,0.078236,0.063591,0.954826,0.010461,0.05205,0.047021,0.060976,0.007956,0.472615,1.190169,3.560215,2.27155,0.07713,0.130545,0.030616,0.411697
16,0.128726,1,0.257372,0.13406,0.016701,0.992119,0.063986,0.008814,0.062423,0.03926,0.04938,0.798808,2.016451,0.279283,0.217224,0.073231,0.081024,0.02993,0.382852
17,0.09754,1,0.227602,0.119211,0.043341,1.029099,0.070601,0.005968,0.037243,0.073752,0.021889,1.485623,1.629066,0.44929,0.777113,0.123866,0.132265,0.0166,0.382986
18,0.108768,1,0.236232,0.063206,0.052288,0.975737,0.074029,0.075177,0.04604,0.034672,0.009798,3.628547,4.011803,0.458248,0.401801,0.116353,0.116683,0.020083,0.420587
19,0.114127,1,0.245131,0.124817,0.044608,1.033131,0.01,0.070405,0.022009,0.018924,0.024759,1.734254,2.694624,3.515721,2.19731,0.083272,0.105744,0.047781,0.415471
20,0.122235,1,0.247411,0.081029,0.04049,1.011498,0.011655,0.072292,0.048556,0.015032,0.026117,3.758174,1.406505,2.601616,1.323266,0.066361,0.088127,0.059584,0.353134
21,0.140538,1,0.22239,0.054254,0.003117,0.99963,0.004103,0.072014,0.022704,0.06608,0.018244,1.831959,2.994115,2.788451,2.451624,0.139243,0.107304,0.059971,0.370354
22,0.066532,1,0.229353,0.06913,0.056658,0.967786,0.004194,0.0681,0.048905,0.022635,0.046063,2.046729,2.807911,0.728405,2.650972,0.090982,0.120246,0.067628,0.363229
23,0.067843,1,0.246135,0.103814,0.060717,0.966449,0.003363,0.040627,0.049096,0.065511,0.031311,0.545726,1.410489,0.495368,0.904898,0.121929,0.081786,0.015221,0.413674
24,0.141694,1,0.287096,0.079667,0.031801,1.035184,0.017528,0.066187,0.028572,0.027893,0.060682,0.904867,2.82673,3.58972,2.186979,0.107037,0.092587,0.034898,0.413717
25,0.150557,1,0.283398,0.106779,0.047607,0.997597,0.050693,0.036816,0.052933,0.056812,0.039785,3.445791,1.960454,0.38765,0.880061,0.100361,0.094582,0.034057,0.392333
26,0.142639,1,0.303784,0.11282,0.044245,0.98769,0.030142,0.02984,0.023982,0.075163,0.050605,2.861826,2.007906,0.436316,2.437525,0.074767,0.063355,0.072143,0.351074
27,0.072162,1,0.271136,0.0703,0.062815,0.955748,0.02495,0.064966,0.013289,0.070285,0.047097,2.471017,1.951675,0.36465,1.865762,0.080037,0.090501,0.018607,0.38275
28,0.12256,1,0.259115,0.076736,0.010898,0.995564,0.014865,0.007436,0.033887,0.006503,0.037785,3.355593,4.559398,1.376708,0.641098,0.123034,0.117198,0.027382,0.429125
29,0.118231,1,0.28797,0.111656,0.043605,0.997361,0.04783,0.063763,0.035874,0.071597,0.017742,2.831963,3.177975,1.359992,0.609168,0.135784,0.096587,0.051109,0.377667
30,0.106201,1,0.265556,0.08417,0.023748,1.004555,0.02974,0.017,0.054463,0.02576,0.03625,1.165901,1.821606,1.614571,1.077908,0.078339,0.081087,0.017874,0.417371
31,0.13324,1,0.307003,0.100752,0.055363,0.962914,0.009299,0.071849,0.048978,0.057862,0.044375,1.759567,3.8765,3.110168,2.693711,0.08372,0.10035,0.060219,0.355313
32,0.106001,1,0.304809,0.087308,0.04518,1.021435,0.06883,0.023582,0.048254,0.030907,0.042888,3.499771,3.305707,3.571257,1.751422,0.115489,0.063721,0.078998,0.363875
33,0.106321,1,0.250149,0.065447,0.043316,1.035728,0.062447,0.080173,0.059418,0.048863,0.026415,3.190481,3.088446,1.126441,0.800955,0.071929,0.109442,0.09017,0.401884
34,0.123678,1,0.286857,0.137033,0.017313,0.950316,0.043906,0.076797,0.040492,0.031797,0.025275,3.461068,4.39689,0.472464,1.117837,0.123159,0.067474,0.087039,0.388916
35,0.074691,1,0.21825,0.080784,0.027078,0.980567,0.04775,0.081109,0.004342,0.004829,0.048746,2.654145,4.295864,1.934947,2.524628,0.102404,0.133423,0.020429,0.415704
36,0.064971,1,0.225909,0.110762,0.056464,1.001307,0.06993,0.07339,0.054789,0.020054,0.039287,2.971898,3.921312,1.837141,1.994693,0.097578,0.099402,0.087347,0.394518
37,0.075706,1,0.278059,0.129961,0.022183,0.948901,0.07648,0.071858,0.015592,0.061752,0.04162,1.146626,2.897125,2.764847,0.684881,0.107435,0.06859,0.02802,0.422705
38,0.121149,1,0.272975,0.111482,0.05606,0.958608,0.069608,0.01916,0.065866,0.065592,0.051973,2.099396,0.867553,1.643,0.505374,0.097422,0.069509,0.018464,0.355761
39,0.067751,1,0.281391,0.080318,0.008377,0.971424,0.061824,0.00452,0.062587,0.012267,0.014972,0.522895,1.216093,0.66688,0.229811,0.081905,0.113271,0.068491,0.386982
40,0.091309,1,0.253453,0.085746,0.039105,1.022192,0.046231,0.020734,0.030285,0.01852,0.059597,0.539892,1.916669,2.574454,1.507072,0.103038,0.05654,0.083117,0.383807
41,0.102907,1,0.280952,0.073993,0.009014,1.02226,0.014758,0.079391,0.049431,0.043217,0.045095,2.939945,2.231583,3.524961,0.276642,0.104665,0.102347,0.077427,0.425428
42,0.094809,1,0.227731,0.088696,0.052506,0.960573,0.07298,0.039392,0.01992,0.030292,0.021962,0.649119,1.858557,3.460356,0.97578,0.129735,0.121468,0.048311,0.411564
43,0.134872,1,0.258699,0.095869,0.020843,0.949177,0.073302,0.062458,0.010806,0.071329,0.04634,2.950917,3.154491,2.317726,2.02245,0.112054,0.080773,0.062282,0.373467
44,0.144156,1,0.294447,0.089542,0.027708,0.953372,0.010694,0.07286,0.062699,0.007897,0.052214,3.810601,0.83645,0.870292,0.32359,0.083385,0.073848,0.053874,0.403586
45,0.11991,1,0.266171,0.087676,0.057461,1.025943,0.043521,0.013016,0.050869,0.058298,0.036521,3.111866,3.67233,3.042434,2.608774,0.13867,0.062095,0.09056,0.428417
46,0.112613,1,0.305403,0.098755,0.019274,1.025307,0.067764,0.045533,0.023656,0.044854,0.041241,1.253134,3.495789,0.445458,0.553337,0.099176,0.118031,0.068683,0.360278
47,0.078826,1,0.270549,0.109007,0.035699,0.965017,0.030817,0.052202,0.025813,0.0373,0.031178,2.512303,3.252324,2.046864,2.799287,0.122302,0.092882,0.025599,0.426651
