Sample,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC
0,393,655,416,1000,998,998,1000,1000,555,592,756,977,824,833,958,1000
1,549,578,776,1000,1000,1000,1000,1000,66,676,733,98,595,637,729,994
2,0,691,0,1000,1000,1000,1000,1000,420,559,711,719,711,716,931,997
3,570,855,581,1000,999,999,1000,1000,365,567,708,612,784,807,974,962
4,497,815,510,932,1000,1000,1000,1000,324,673,466,540,360,615,362,984
5,568,569,958,1000,999,999,1000,1000,425,654,464,953,784,792,942,1000
6,536,590,706,1000,1000,1000,1000,1000,68,696,556,109,624,631,870,1000
7,77,876,77,986,999,999,1000,1000,439,634,615,711,721,731,897,999
8,45,625,45,1000,999,999,1000,1000,579,651,753,932,519,567,637,1000
9,601,644,763,1000,1000,1000,1000,1000,413,669,466,763,555,780,562,999
10,588,634,759,1000,999,999,1000,1000,498,578,625,918,655,655,949,999
11,44,671,44,1000,999,999,1000,1000,500,539,740,923,772,773,981,1000
12,529,531,936,1000,998,998,1000,1000,513,611,623,982,551,568,758,999
13,521,522,933,1000,998,998,1000,1000,366,560,671,628,859,877,944,986
14,718,719,984,1000,999,999,1000,1000,565,593,780,995,357,611,359,995
15,573,573,965,1000,1000,1000,1000,1000,316,541,740,516,700,739,821,1000
16,840,856,938,1000,1000,1000,1000,1000,535,599,694,942,559,567,877,964
17,824,834,988,990,1000,1000,1000,1000,371,629,446,730,752,907,761,998
18,0,691,0,999,1000,1000,1000,1000,385,602,807,631,588,621,814,951
19,492,807,508,1000,999,999,1000,1000,487,616,593,862,561,563,882,996
20,494,807,508,1000,998,998,1000,1000,502,603,759,809,707,719,891,994
21,496,811,511,1000,1000,1000,1000,1000,382,660,494,670,463,830,623,665
22,571,870,581,1000,1000,1000,1000,1000,477,666,703,717,719,722,934,1000
23,539,545,902,996,1000,1000,1000,1000,511,664,648,798,572,648,666,999
24,0,805,0,1000,999,999,1000,1000,327,678,416,604,683,724,813,983
25,807,863,889,972,1000,1000,1000,1000,93,627,770,169,865,871,973,1000
26,558,559,958,1000,999,999,1000,1000,191,594,840,312,854,855,989,1000
27,595,640,758,1000,999,999,1000,1000,471,583,670,805,859,888,918,1000
28,811,851,936,964,998,998,1000,1000,537,576,731,965,808,834,910,987
29,547,604,707,1000,1000,1000,1000,1000,513,650,672,823,551,594,689,996
30,0,822,0,817,1000,1000,1000,1000,356,549,671,615,726,784,813,992
31,596,643,761,1000,1000,1000,1000,1000,475,612,780,780,731,731,970,1000
32,0,899,0,880,999,999,1000,1000,460,675,494,975,781,786,958,998
33,726,792,837,1000,1000,1000,1000,1000,495,682,711,768,679,721,813,998
34,55,817,55,1000,999,999,1000,1000,495,606,752,802,552,557,820,1000
35,573,574,959,1000,999,999,1000,1000,469,628,670,739,797,800,966,1000
36,573,878,582,990,999,999,1000,1000,485,674,713,745,846,846,987,999
37,78,887,78,716,999,999,1000,1000,577,607,787,971,555,567,766,990
38,0,697,0,997,1000,1000,1000,1000,508,543,739,947,578,655,947,851
39,491,807,504,950,1000,1000,1000,1000,355,694,480,604,754,768,979,968
40,739,759,909,1000,998,998,1000,1000,476,620,750,719,624,633,868,1000
41,487,790,506,1000,999,999,1000,1000,551,569,819,978,860,864,982,999
42,493,810,507,999,999,999,1000,1000,528,655,732,840,473,479,767,964
43,843,859,938,1000,999,999,1000,1000,491,543,740,862,658,672,851,1000
44,368,611,395,994,998,998,1000,1000,539,569,771,944,748,751,947,1000
45,559,588,775,1000,1000,1000,1000,1000,451,684,481,995,677,719,808,995
46,524,526,936,1000,1000,1000,1000,1000,386,623,442,787,564,579,782,996
47,0,664,0,1000,999,999,1000,1000,373,678,413,757,675,738,787,977
48,539,595,707,1000,1000,1000,1000,1000,142,611,809,248,508,590,584,976
49,548,577,777,1000,999,999,1000,1000,549,651,687,886,565,610,700,999
50,603,624,836,1000,999,999,1000,1000,345,639,397,747,725,725,969,1000
51,590,593,937,1000,999,999,1000,1000,274,642,613,404,787,791,961,999
52,534,535,941,1000,1000,1000,1000,1000,225,715,559,363,371,629,379,848
53,766,789,909,1000,1000,1000,1000,1000,314,613,694,491,451,465,716,957
54,571,874,581,919,999,999,1000,1000,581,684,735,915,689,702,869,1000
55,528,529,935,1000,1000,1000,1000,1000,338,571,802,533,557,598,869,906
56,846,891,898,1000,1000,1000,1000,1000,540,693,598,995,454,459,745,1000
57,736,736,981,1000,1000,1000,1000,1000,94,561,802,171,789,834,859,1000
58,591,635,761,1000,999,999,1000,1000,401,618,442,976,515,522,807,973
59,525,527,934,996,999,999,1000,1000,461,639,748,726,816,840,908,1000
60,44,634,44,997,998,998,1000,1000,183,603,843,309,622,692,723,1000
61,78,883,78,1000,998,998,1000,1000,383,633,782,607,786,788,970,1000
62,722,786,835,1000,1000,1000,1000,1000,478,574,774,808,724,724,973,1000
63,539,544,903,1000,999,999,1000,1000,408,634,443,985,596,667,699,1000
64,762,848,977,908,997,997,1000,1000,320,595,645,523,631,632,938,1000
